title,url,publish_date,has_keyword,matched_keywords,fulltext,page_number,greenhouse gas,ghg,net-zero,carbon neutral,carbon neutrality,carbon emissions,climate change,carbon trading,carbon pricing,low-carbon,clean energy,greenhouse,carbon,environment,emission,environmental,emissions,sustainability
"Tongcheng designated as national historical, cultural city",https://english.www.gov.cn/policies/latestreleases/202111/12/content_WS618e066bc6d0df57f98e4d80.html,2021-11-12,True,environment,"The Chinese government has approved designating Tongcheng city in East China’s Anhui province as a national famous historical and cultural city, according to an official reply released by the State Council on Nov 7.
With a long history, the city’s traditional layout, construction styles and cultures have their own distinct features, and its rich cultural deposits and historical remains are of great value, the reply said.
The State Council urged the provincial and city government to make plans on cultural heritage protection, preserve and restore historical and cultural street blocks, further develop urban infrastructure and public services, and make better use of historical buildings.
The reply also specified that it is not allowed to alter any natural landscapes or environment correlating with the historical and cultural elements of the city. Construction incompatible with local environment and styles should not be built. Damaging, moving without authorization and demolishing historical structures are also not allowed.",34,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"China issues circular on further prevention, control of pollution",https://english.www.gov.cn/policies/latestreleases/202111/08/content_WS61885a5cc6d0df57f98e4a16.html,2021-11-08,True,"carbon emissions, carbon, environment, emission, emissions","BEIJING — Chinese authorities have issued a circular on further promoting the nationwide battle to prevent and control pollution, while strengthening ecological protection.
The circular, jointly released by the Communist Party of China Central Committee and the State Council, details major targets for improving the country's ecological environment, with the total discharge of major pollutants continuously declining for 2025 and 2035.
By 2025, carbon dioxide emissions per unit of the country's GDP will be reduced by 18 percent from the level in 2020, according to the circular.
In cities at or above the prefectural level, the intensity of PM 2.5 will be decreased by 10 percent, the proportion of days with good air quality will reach 87.5 percent, while the proportion of surface water with relatively good quality (at or above Grade III) should be above 85 percent during the period.
By 2035, a green way of life and production will have been formed, carbon emissions will stabilize and decline after reaching a peak, and the country's ecological environment will see fundamental improvement, said the circular.",34,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,0,2,0
"China to encourage social capital in ecological protection, restoration",https://english.www.gov.cn/policies/latestreleases/202111/10/content_WS618bb415c6d0df57f98e4c69.html,2021-11-10,True,carbon,"The State Council has issued a guideline on encouraging social capital to participate in ecological development, according to a notice released by the General Office of the State Council on Nov 10.
Aimed at promoting high-quality development in ecological protection and restoration and raising supplies of quality ecological products, China will encourage and support social capital to engage in the whole process of ecological protection, including investment, design, restoration, and management, and carry out activities such as ecological product development, industrial development, sci-tech innovation, and technical services.
According to the notice, social capital can engage in ecological conservation individually, as a group or through cooperation with governments, and public welfare organizations are also welcome.
Social capital will be allowed to profit through developing industries by rights to use natural resource assets or franchise rights, making carbon sink transactions, and comprehensively utilizing resources approved by the government.
An efficient working procedure should be adopted for launching projects and formulating plans scientifically and reasonably, introducing entities through transparent competition, and regulating market trading on related products.
The circular pointed out key fields include protecting and restoring ecosystems in nature, farmlands, urban areas, mines, and oceans, and exploring and developing ecological industries.
A slew of supporting policies will be rolled out arranging various types of space within ecological protection and restoration areas and entitling a certain share of the rights to eligible entities to use natural resources and assets.
Modes such as the public-private-partnership or PPP will be explored and introduced, and financial institutions will be encouraged to participate in ecological protection and restoration projects and expand investment and financing channels.
The notice also highlighted synergy among capital and industries, setting up investment promotion mechanisms and brand-building.",34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Govt efforts get credit for policy implementation,https://english.www.gov.cn/policies/latestreleases/202111/15/content_WS61920fdec6d0df57f98e4fc5.html,2021-11-15,True,environment,"The General Office of the State Council issued a circular on Nov 15, praising 48 local government efforts flagged during the eighth nationwide inspection of 16 provincial-level regions.
The inspection was launched by the State Council to serve the agenda of the Central Economic Work Conference and track progress in targets and tasks set by the Government Work Report.
The accomplishments, aligned with local conditions, included cutting taxes and fees to support businesses, expanding domestic demand, safeguarding employment and people’s livelihoods, improving the business environment, and boosting innovation-driven development, among others.
On the list are Beijing municipality for pursuing fuller and higher-quality employment, and Guizhou province for pushing forward cross-provincial services.
The circular urged learning from good practices with solid actions to achieve economic and social development targets for the whole year.",34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Full Text: Action Plan for Carbon Dioxide Peaking Before 2030,https://english.www.gov.cn/policies/latestreleases/202110/27/content_WS6178a47ec6d0df57f98e3dfb.html,2021-10-27,True,carbon,"BEIJING — The State Council, China's cabinet, has released a document titled ""Action Plan for Carbon Dioxide Peaking Before 2030.""
Please see the attachment for the document.
Full Text: Action Plan for Carbon Dioxide Peaking Before 2030",35,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"China maps path to carbon peak, neutrality under new development philosophy",https://english.www.gov.cn/policies/latestreleases/202110/24/content_WS61755fe9c6d0df57f98e3bed.html,2021-10-24,True,"carbon neutral, carbon neutrality, low-carbon, carbon, emission, emissions","BEIJING — Chinese authorities on Oct 24 unveiled a guiding document on the country's work to achieve carbon peaking and carbon neutrality goals under the new development philosophy, laying out key specific targets and measures for upcoming decades.
By 2030, China's carbon dioxide emissions will peak, stabilize and then decline, and by 2060, China will be carbon neutral and have fully established a green, low-carbon and circular economy, it said, reiterating the country's previous pledge.
Toward this end, China aims to gradually increase the share of non-fossil energy consumption to around 20 percent by 2025, around 25 percent by 2030, and over 80 percent by 2060, according to the document jointly released by the Communist Party of China Central Committee and the State Council.
The country's carbon dioxide emissions per unit of GDP will be lowered by 18 percent from the 2020 level by 2025 and will have dropped by more than 65 percent compared with the 2005 level by 2030, said the document titled ""Working Guidance For Carbon Dioxide Peaking And Carbon Neutrality In Full And Faithful Implementation Of The New Development Philosophy.""
Full Text: Working Guidance For Carbon Dioxide Peaking And Carbon Neutrality In Full And Faithful Implementation Of The New Development Philosophy",35,0,0,0,4,3,0,0,0,0,1,0,0,11,0,2,0,2,0
China to establish inter-ministerial joint conference system for road freight,https://english.www.gov.cn/policies/latestreleases/202110/13/content_WS6166a25cc6d0df57f98e19b8.html,2021-10-13,True,environment,"The State Council, in a circular issued on Oct 13, approved a plan to establish an inter-ministerial joint conference system for road freight.
The system, as instructed in the circular, should implement decisions and arrangements from the CPC Central Committee and the State Council, strengthen coordination among departments, and help resolve prominent issues in the industry.
While safeguarding the legal rights and interests of truck drivers, the system should maintain a fair and orderly environment for market competition, and promote stable and high-quality development of road transportation, the circular said.
To that end, the system should study and formulate policies conducive to fair market competition and high-quality development, improve infrastructure, promote advanced vehicle and equipment technology and transportation modes, and advance the intensive growth of road transportation.
In addition, it should also remove unreasonable penalties, improve regular joint law enforcement, clear channels for complaints to solve common and frequent problems of truck drivers, enhance market monitoring and analysis, promote information sharing and reasonable matching of transportation resources and freight, and improve industrial management and emergency response.
Led by the Ministry of Transport, the joint conference system contains 16 departments, including the Office of the Central Cyberspace Affairs Commission, National Development and Reform Commission, Ministry of Industry and Information Technology, Ministry of Public Security, and Ministry of Finance.
The conference's office is set in the Ministry of Transport, and meetings will be held in plenary and special sessions.
Important items should be reported to the CPC Central Committee and the State Council, the circular said.",35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"China issues guideline on green development in urban, rural areas",https://english.www.gov.cn/policies/latestreleases/202110/21/content_WS61715345c6d0df57f98e39e8.html,2021-10-21,True,"carbon emissions, carbon, environment, emission, emissions","BEIJING — The general offices of the Communist Party of China Central Committee and the State Council have issued a guideline underpinning green development in urban and rural areas.
The guideline sets a target that by 2025 the institutional mechanisms and policy systems for green development in urban and rural areas will be basically established.
The country will also make substantial progress on the green transformation of construction and solidly advance carbon reduction during the period, according to the guideline.
Incidence of ""urban diseases"" should be reduced, the quality of ecology and environment improved and green lifestyle widely promoted, it says.
It sets another target that by 2035, green development will cover urban and rural areas in a comprehensive way, with an increased cut in carbon emissions. By the target date, the living environment will improve and institutions of governance and capacity will basically achieve modernization in terms of urban and rural construction.
As part of promoting integrated urban-rural development, the guideline stresses green development of various regions and city clusters, pledging to build beautiful cities where man and nature coexist in harmony and a beautiful countryside which is green, ecologically rich and livable.
It calls for improving development patterns involving high-quality green construction and better infrastructure in rural and urban areas.
The country should strengthen the protection and inheritance of history and culture in cities and rural areas, adhere to green construction in the process and promote the formation of a green lifestyle, according to the guideline.
China should also coordinate the planning and construction of cities and rural areas, establish an evaluation system, intensify innovation during the process and promote the building of smart cities, said the guideline.
The guideline pledges to add fiscal and financial input, improve the green financial system, and provide more support for major projects on green development in urban and rural areas.",35,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,0,1,0
Full Text: Working Guidance For Carbon Dioxide Peaking And Carbon Neutrality In Full And Faithful Implementation Of The New Development Philosophy,https://english.www.gov.cn/policies/latestreleases/202110/25/content_WS61760047c6d0df57f98e3c21.html,2021-10-25,True,"carbon neutral, carbon neutrality, carbon","BEIJING — The Communist Party of China Central Committee and the State Council on Oct 24 jointly released a document titled ""Working Guidance For Carbon Dioxide Peaking And Carbon Neutrality In Full And Faithful Implementation Of The New Development Philosophy.""
Please see the attachment for the document.
Full Text: Working Guidance For Carbon Dioxide Peaking And Carbon Neutrality In Full And Faithful Implementation Of The New Development Philosophy",35,0,0,0,3,3,0,0,0,0,0,0,0,6,0,0,0,0,0
China rolls out plan for carbon dioxide peak,https://english.www.gov.cn/policies/latestreleases/202110/26/content_WS6178023cc6d0df57f98e3d5c.html,2021-10-26,True,"carbon emissions, low-carbon, carbon, environment, emission, environmental, emissions","The State Council, China's cabinet, released an action plan on Oct 26 for reaching carbon dioxide peak before 2030.
According to the plan, the consumption ratio of non-fossil energy will reach 20 percent of the total in 2025, with energy consumption and carbon dioxide emissions per unit of GDP down 13.5 and 18 percent compared with that of 2020.
During the 15th Five-Year Plan period, the nation will basically establish a policy system to support green, low-carbon and circular development. By 2030, the consumption ratio of non-fossil energy will account for 25 percent of the total and carbon dioxide emissions per unit of GDP will be reduced by more than 65 percent compared with 2005.
To achieve peak carbon emissions, China will take actions in green energy transformation, energy conservation, reduce emissions in transportation, industry, urban and rural construction and support the circular economy and low-carbon technologies.
In terms of green energy transformation, the nation will step up the replacement and upgrade of coal consumption, develop new energies, tap the potential of hydroelectricity and nuclear power, control consumption of fuel and gas and accelerate construction of a new electricity system.
By 2030, the total installed capacity of wind and solar power will be above 1.2 billion kW.
Overall management in energy conservation will be improved and work will be done to implement key carbon reduction projects, improve the efficiency of energy-consuming equipment and enhance energy saving in new infrastructures.
China will peak carbon emissions in industry in the first place, the plan said. To that end, green and low-carbon development will be promoted in industry and efforts will be made to hit peak emissions in the steel, nonferrous metal, building material and chemical sectors.
To promote green, low-carbon transformation of urban and rural construction, efforts will be made to elevate energy efficiency of buildings, optimize their energy consumption structure and boost low-carbon transformation in rural construction and use of energy.
Low-carbon transformation in transportation equipment is also stressed in the circular, which called for establishing a green, efficient transportation system and building an environmentally friendly transportation infrastructure.
Industrial parks will adopt circular development, enhance comprehensive utilization of bulk solid waste, improve the resource recycling system and push for reduction and reclamation of household waste.
Urging more efforts in application and basic research, the circular called for a batch of cutting-edge, strategic national scientific projects in advancing breakthroughs for low, zero and negative carbon technologies and device development.
Work should be done to consolidate the ecological system’s ability and increase its capacity for carbon sequestration.
Public awareness in environmental and ecological protection will be further raised, with thriftier low-carbon lifestyles promoted. Enterprises should also fulfill their social responsibilities in reducing emissions, the circular said.",35,0,0,0,0,0,2,0,0,0,7,0,0,16,2,7,2,7,0
China issues guideline for IPR development,https://english.www.gov.cn/policies/latestreleases/202109/22/content_WS614b1466c6d0df57f98e0aa8.html,2021-09-22,True,environment,"BEIJING — China released a 15-year plan (2021-2035) on the development of intellectual property rights (IPR) on Sept 22.
The plan, which demands stricter IPR protection, a high level of public satisfaction, and greater market value of IPR by 2025, was released by the Central Committee of the Communist Party of China and the State Council.
By 2035, China's IPR competitiveness will rank among the top in the world, says the guideline.
The guideline maps out a number of key tasks including building an IPR protection system that supports world-class business environment, establishing an IPR market operation mechanism that encourages innovation, building a public IPR service system that is convenient and beneficial to the public and stepping up participation in global IPR governance.",36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
China issues high-quality development plan for Liaoning coastal economic belt,https://english.www.gov.cn/policies/latestreleases/202109/18/content_WS6145e2d3c6d0df57f98e078f.html,2021-09-18,True,"low-carbon, carbon","China’s State Council approved a plan to promote high-quality development of the Liaoning coastal economic belt, according to a circular released on Sept 18.
The plan should aim to promote high-quality development in the Liaoning coastal economic belt, focus on supply-side structural reform, take reform and innovation as the fundamental driving force, and feature green and low-carbon development, said the document.
The plan should encourage the Liaoning coastal economic belt to vigorously develop the marine economy, accelerate modern industrial systems, improve mechanisms for coordinated development between regions, and pursue a higher level of opening-up, according to the document.
The plan must help the economic belt actively participate in the Northeast Asia economic circle, and enhance its competitiveness in international economic and trade cooperation, in order to achieve groundbreaking progress in ramping up the revitalization of Northeast China.
The Liaoning provincial government must take the leadership in implementing the plan, and establish and improve a coordinated mechanism on high-quality development among coastal cities. Specified work plans should be made to identify tasks and responsibilities. Major policies, projects, and programs involved in the plan must be reported for approval.
Relevant departments of the State Council should strengthen support and guidance for high-quality development of the Liaoning coastal economic belt, and the National Development and Reform Commission should follow and review the plan’s implementation.",36,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
China approves revitalization plan for special areas,https://english.www.gov.cn/policies/latestreleases/202110/08/content_WS61600640c6d0df57f98e156e.html,2021-10-08,True,environment,"The State Council approved a plan to revitalize and develop areas with special characteristics, helping them better solve problems and play supporting roles during the 14th Five-Year Plan period (2021-2025), according to a circular released on Oct 8.
The areas include underdeveloped regions, old revolutionary base areas, border areas, ecologically degraded areas, resource-rich areas and old industrial cities.
Governments at provincial levels should strengthen their leading role in organization, integrate tasks and measures clarified in the plan with the economic and social development laid out in local plans.
In addition, major policies and projects involved in the plan must be applied for approval in accordance with established procedures.
Relevant departments of the State Council should create a favorable environment with sound policies for these regions’ revitalization and development, and give full play to the role of inter-ministerial joint conferences in supporting the revitalization of Gannan (southern Jiangxi province) and other parts of the former Central Soviet areas, the compensation work for ecological protection and the comprehensive management of areas affected by coal mining-induced subsidence.
The circular also concluded the National Development and Reform Commission should strengthen comprehensive coordination and services, follow up the implementation of the plan and report major matters to the State Council in a timely manner.",36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
China approves high-quality development plan for resource-rich regions,https://english.www.gov.cn/policies/latestreleases/202109/23/content_WS614c43c1c6d0df57f98e0b94.html,2021-09-23,True,environment,"China’s State Council approved a plan to promote high-quality development in resource-rich regions during the 14th Five-Year Plan period, according to a circular released on Sept 23.
The circular urges related departments to adhere to the general working guideline of making progress while maintaining stability based on the new stage of development, implement new development concepts, build a new development pattern, and boost high-quality development.
While focusing on supply-side structural reform, the circular stressed the role of reform and innovation as fundamental driving forces, and the ultimate purpose to meet people’s ever-growing needs for a better life.
Development and security should be better coordinated while pushing forward high-quality development of resource-rich regions, stimulating innovation potential, improving systems and mechanisms, and enhancing weak links in people's well-being, it said.
A new prospect for high-quality development with strong internal driving force, a happy life and beautiful ecological environment should be achieved at a faster pace, according to the circular.
The people's governments of relevant provinces, autonomous regions and municipalities directly under the central government and the Xinjiang Production and Construction Corps should study and formulate provincial implementation plans and introduce supporting policies and measures, the circular said.
Relevant departments of the State Council should provide support in project construction, capital investment, system and mechanism innovation through investment, fiscal, taxation, financial and land policies, and coordinate and resolve difficulties and problems in the transformation and development of resource-rich regions.
The National Development Reform Commission should coordinate with the Ministry of Finance, the Ministry of Natural Resources and other departments, to strengthen tracking, analysis, supervision and guidance, improve dynamic monitoring and evaluation mechanism, to ensure the targets and tasks proposed in the plan are completed as scheduled.",36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
China issues guideline on developing civilized cyberspace,https://english.www.gov.cn/policies/latestreleases/202109/14/content_WS614097a4c6d0df57f98e028b.html,2021-09-14,True,environment,"BEIJING — The Communist Party of China Central Committee and the State Council have jointly issued a guideline on developing a more civilized and well-regulated cyberspace environment.
The country aims to consolidate the guiding status of Marxism in the ideological cyberspace sphere, foster a common ideology among the whole Party and the Chinese people, and interiorize core socialist values, said the guideline made public on Sept 14.
It expected Chinese people to enjoy a healthy and colorful cultural life in cyberspace, show higher ethical standards, and behave well in the sphere, particularly underage internet users.
Online platform operators and the industry will effectively fulfill their duties of self-discipline while cyberspace will be governed under the law, which will crack down on and prevent online crimes, said the guideline.
Efforts will be made to enhance ideological work and cultural development in cyberspace, as well as raising ethical standards among internet users, the guideline said.
Online behaviors should be well regulated, while ethics and codes of conduct in cyberspace must be line with core socialist values.
The government, schools, families and society will work together to educate minors so that they can use the internet properly and be well prepared for online risks.
The authorities will step up its crackdown on and prevention of online bullying among the underage and better protect their rights and interests, according to the guideline.
The country plans to better regulate the production, publication and distribution of online content, classify the management of online accounts and build a national mechanism to stop and prevent disinformation.
Campaigns will be launched to fight online crimes, and efforts will be made to protect personal information and data security.
The guideline urged efforts from localities and relevant departments, encouraged public participation and promised policy and fund support, while encouraging the private sector to make financial and material contributions in the building of civilized and well-regulated cyberspace environment.",37,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
China to improve rural delivery logistics system,https://english.www.gov.cn/policies/latestreleases/202108/20/content_WS611f65f6c6d0df57f98dee42.html,2021-08-20,True,sustainability,"China will improve the delivery service system in rural areas to facilitate the local construction of the circulation system, promote employment and entrepreneurship, better meet the demands of rural production, life and consumption upgrading, and boost comprehensive rural revitalization, according to a circular issued by the State Council on Aug 20.
Delivery logistics in rural areas is of great significance, as it is one of the channels for sending rural products to cities and consumer goods to rural areas. It also has big meaning for satisfying the production and living needs of rural people, releasing the potential of rural consumption, and boosting rural revitalization.
However, there are still some outstanding problems in rural delivery, such as inadequate end service capacity, poor sustainability and weak infrastructure, according to the circular.
It said that by 2025, a rural delivery logistics system that is open, in the benefit of the people, intensive, resource-sharing, secure, efficient, and smooth should be formed.
To achieve that goal, the circular urged innovating operating models in town-level postal stations, which can undertake all types of public services, improving the basic public service capacity of rural postal services.
Rural delivery logistics resources should be coordinated, and logistics platforms such as postal, express delivery, transportation, supply and marketing, and trade should be encouraged to share the end distribution networks to reduce the cost of rural end delivery.
Enterprises are also encouraged to enhance information service in their rural delivery logistics system through data sharing and information interconnection.
By the end of June 2022, 100 rural e-commerce express collaborative development demonstration zones will be established across the country, enhancing delivery logistics’ customized service capacity to rural e-commerce, the circular said.
The circular also stressed guiding and supporting postal express enterprises to build cold chain storage facilities relying on local express logistics parks, increase cold chain transport vehicles, enhance end cold chain distribution capacity, and establish a cold chain delivery logistics system, gradually covering all links of production and circulation.
In rural areas of east and central China, the decisive role of market forces in resource allocation will be better leveraged, and enterprises will be guided to provide better delivery services in rural areas through setting up outlets in villages and cooperating with other enterprises.
In rural areas of west China, government should lead enterprises to take advantage of the postal and transportation infrastructure, giving full play to the fundamental role of postal services in rural end delivery logistics.
Rural delivery logistics enterprises will be encouraged to take the initiative in cooperating with family farms, farmer cooperatives and leading enterprises in agricultural industrialization, providing specialized supply chain delivery services for agricultural products.
Also by the end of June 2022, 300 modern agricultural demonstration projects for express delivery services will be built to help sell local agricultural products and consolidate the achievements of poverty alleviation.
Local governments should integrate the postal, delivery, supply and marketing, e-commerce outlets and other resources in the village, and make use of existing public facilities to build a village-level comprehensive service station for delivery logistics.
Headquarters of express delivery enterprises will be guided to increase investment in rural delivery networks, and regulate the management of rural delivery outlets, to ensure stable operation of the outlets.
Registration procedures for rural express delivery end outlets should be simplified, and unreasonable and unnecessary restrictions should be removed to encourage the development of rural express end service.
E-commerce enterprises, delivery enterprises and private capital will be encouraged to participate in the construction of village-level delivery logistics service stations, to help rural laborers find jobs and start businesses.
Oversight on delivery logistics services will be strengthened, to promote fair competition and protect people's lawful rights and interests.",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
China issues guideline on deepening reform of eco-compensation mechanism,https://english.www.gov.cn/policies/latestreleases/202109/13/content_WS613e84cbc6d0df57f98e0140.html,2021-09-13,True,"greenhouse gas, greenhouse, carbon, environment, emission","BEIJING — China has released a guideline on deepening the reform of the country's ecological compensation mechanism to speed up the building of ecological civilization.
The guideline, jointly released by the general offices of the Communist Party of China Central Committee and the State Council, details measures for the country to realize long-term ecological compensation goals set for 2025 and 2035.
By 2025, an ecological compensation mechanism that is aligned with economic and social development should be basically built up. The classified compensation system targeting ecological elements such as rivers, natural forests and wetlands, and the comprehensive compensation system that features fiscal support will be improved.
In the meantime, a market-oriented and diversified compensation pattern will be formed with the whole society more actively participating in ecological protection.
By 2035, the country will form an ecological compensation mechanism that meets the requirements of ecological civilization in the new era, according to the document.
The classified compensation system will take into account factors including the economic and social development of the ecological protection areas, and the protection costs of diverse ecological elements.
Efforts will be made to explore a protection mode that facilitates local governments to strengthen coordination in practicing ecological protection measures, said the document.
While focusing on national ecological security priorities, the country will enhance the comprehensive compensation system with policies that conform to the financial capacity and promote equal access to basic public services.
Efforts will be made to give full play to the role of market mechanism to promote diversified compensation and help regions that conduct ecological protection measures obtain benefits, so as to encourage the whole society to participate in ecological protection.
According to the document, the country will accelerate the building of a national market for trading energy use rights and carbon emission rights, which is to involve voluntary emission reduction projects on greenhouse gases in the fields of forestry, renewable energy and methane utilization.
To expand market-oriented financing channels, financial institutions, qualified non-financial firms and insurers are encouraged to provide green services and products, the document added.
Supporting policies regarding the rule of law, ecological environment monitoring, and fiscal and taxation will also be introduced to deepen reform of the country's ecological compensation mechanism.
Related parties should take their responsibilities to protect ecological environment, and mechanisms to evaluate and supervise the implementation of the policies regarding ecological protection will be further improved, the document said.",37,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0
State Council unveils plan to boost employment,https://english.www.gov.cn/policies/latestreleases/202108/27/content_WS6128ec70c6d0df57f98df447.html,2021-08-27,True,environment,"The State Council issued a circular on Aug 27 aimed at promoting employment during the 14th Five-Year Plan period (2021-25).
By 2025, the employment situation should be stable overall, with newly added urban jobs reaching over 55 million and the surveyed urban unemployment rate kept within 5.5 percent, according to the circular.
The quality of employment will be improved steadily, with a better social security system covering urban and rural labors and a further guarantee of labor rights and interests. Higher quality in human resources will meet the demand of industrial transformation and upgrading, as well as high-quality development. The average education years of the working-age population will reach 11.3, and 55 percent of the newly added labor force will receive higher education.
Also by 2025, better environment of entrepreneurship, policy and service system will bring constant momentum to employment. The ability to cope with risks will be significantly enhanced.
To achieve those goals, the circular stressed strengthening the employment-first policy, calling on fiscal, monetary, investment, consumption, industrial and regional policies to support employment. Domestic demand should be expanded, consumption promoted and effective investment increased to boost employment.
The manufacturing industry should attract more job-seekers with higher profitability and more income for employees. Development of labor-intensive industries should be supported to provide more jobs. New patterns of service-based manufacturing should be boosted, and new industrial chains strengthened to add more jobs.
Widened market access, further opening-up, digital transformation and online, offline development of service industry will help boost employment. Innovation of business, trade and consumption patterns is also encouraged, as are job increases in agriculture.
Development of micro, small and medium-sized enterprises and individually owned businesses will be encouraged to increase employment, and the circular called for better institutional environment and policy system in this regard. There will be fewer burdens on these enterprises to boost their vitality and job-creating capacity, and they will have more support in financing and more inclusive finance services. The digital economy will also be supported to boost employment and entrepreneurship.
Efforts will be made to support flexible employment through multiple channels and development of new forms of employment, requiring the removing of unreasonable restrictions. The document also called for regional coordination in employment development.
The environment for entrepreneurship will be further improved, administrative reform will be further promoted and a market-oriented and law-based business environment will be built. Different groups are encouraged to start businesses, and entrepreneurship service systems and platforms will be upgraded.
Employment of urban youths, retired military personnel, people lifted out of poverty and other key groups will be supported with more preferential measures. Better training services and vocational and technical education were also stressed.
Public employment service system must constantly improve to build a high-standard human resource market system and deepen opening-up of human resource services, it stressed.
The circular also stressed reasonable income increases, better working environment and social insurance, as well as solid guarantees of labor rights and interests.",37,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
China issues plan for further developing Shenzhen-Hong Kong cooperation zone,https://english.www.gov.cn/policies/latestreleases/202109/06/content_WS613603dfc6d0df57f98dfc69.html,2021-09-06,True,environment,"BEIJING — China's central authorities have issued a new plan for further developing a cooperation zone for the southern metropolis of Shenzhen and the Hong Kong Special Administrative Region.
According to the plan, the reform and opening up of the Qianhai Shenzhen-Hong Kong Modern Service Industry Cooperation Zone will be comprehensively deepened.
The plan, issued by the Communist Party of China Central Committee and the State Council, was made public on Sept 6.
The general plan to establish the cooperation zone was approved by the State Council in 2010.
A total of 11,500 Hong Kong-invested companies have been registered in the zone, with registered capital reaching 1.28 trillion yuan (about $198 billion), according to official data released in late August.
The total area of the cooperation zone will be expanded to 120.56 square km from 14.92 square km, said the new development plan.
The new blueprint was formulated to help Qianhai better play an exemplary and leading role in the development of the Guangdong-Hong Kong-Macao Greater Bay Area, said the plan.
By 2035, Qianhai will boast world class business environment, and will become an engine for high-quality development with strong capability in global resource allocation, breeding innovation and leading coordinated development, according to goals laid out in the new development plan.",37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
China passes plan for revitalizing NE region,https://english.www.gov.cn/policies/latestreleases/202109/13/content_WS613f1279c6d0df57f98e01d1.html,2021-09-13,True,environment,"The implementation plan on revitalizing Northeast China during the 14th Five-Year Plan period (2021-25) was approved by the State Council, according to a reply released on Sept 13.
The plan, on the basis of a new development phase, is aimed at resolving institutional issues, energizing market entities, adjusting and improving the industrial structure, and building on its own strengths, to achieve breakthroughs in revitalizing the region.
The governments of Inner Mongolia autonomous region, provinces of Liaoning, Jilin, and Heilongjiang, were asked to strengthen leadership, improve working mechanisms, deepen reform and opening-up, ramp up policy support, and improve the business environment.
In the meantime, key programs and major measures on revitalizing areas of Northeast China will be carried out to boost the internal growth momentum. Major policies, programs and projects involved in the plan should be submitted and approved according to procedures.
The document also stressed that all members of the State Council's leading groups for the revitalization of Northeast China and other old industrial bases, and all relevant departments and units should, according to their respective duties and responsibilities, provide active support for drafting the plans, institutional innovation, policy implementation and project construction.
The National Development and Reform Commission should strengthen overall planning, take the lead in formulating the annual work on the revitalization of Northeast China, and push forward its implementation by a working mechanism of joint implementation of departments at provincial and ministerial levels.
Implementation of the plan will be followed up, analyzed and checked, and major matters will be reported to the CPC Central Committee and the State Council in a timely manner, the document said.",37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Registration management of market entities to be standardized,https://english.www.gov.cn/policies/latestreleases/202108/24/content_WS6124bcd3c6d0df57f98df117.html,2021-08-24,True,environment,"The regulation on the registration management of market entities was passed at the State Council’s executive meeting on April 14, 2021, and will go into effect on March 1, 2022, according to a State Council decree signed by Premier Li Keqiang.
It aims to standardize registration management of market entities, promote the construction of a law-based market, sustain a benign market order, protect the legitimate rights and interests of market entities, and optimize the business environment.
China will alleviate corporate burdens by optimizing registration procedures with fewer steps, simplified application materials and lower institutional costs, according to the regulation.
Market entities refer to natural persons, legal persons and unincorporated organizations that engage in business activities for profit within the country, the document said, including companies, non-company enterprise as legal persons and their branches; sole proprietorship enterprises, partnership enterprises and their branches; farmers’ specialized cooperatives and their branches; individually owned businesses; foreign companies’ branches; and other market entities stipulated by laws and regulations.
To improve the registration efficiency, authorities are required to handle the items on-site, one-time or under a time limit. Online settlement and cross-region settlement are also required, it said.
Common items required in registering a market entity include its name, entity type, business scope, domicile or main premise of business operation, registered capital or contributed capital amount, and name of legal representative, managing partner or principal.
According to the regulation, market entities must verify identities during registration, with applicants liable for authenticity, legitimacy and validity of submitted materials. Authorities should not ask for repeated submission of information that is available on the government service information sharing platform. Simplified registration cancellation procedures are also available for those meeting stipulated requirements.
Market entities should make public annual reports and registration information, as the regulation stressed strengthening supervision and management. Registration of a market entity will be revoked if it submits false materials or conceals important facts by fraudulent means.",37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
