Sector,Policy_subcategory,Year,Policy_name,Instrument,Country,Break_id
Buildings,Financial support,2009,Adoption subsidy,Subsidy,SouthAfrica,ZAF_2010_Buildings
Buildings,BuildingEnergyCodes,2011,Building code,Regulation,SouthAfrica,ZAF_2010_Buildings
Buildings,Labels Appliances,2012,Label,Information,SouthAfrica,ZAF_2010_Buildings
Buildings,Labels Appliances,2014,Label,Information,SouthAfrica,ZAF_2015_Buildings
Buildings,MEPS of appliances,2014,Performance standard,Regulation,SouthAfrica,ZAF_2015_Buildings
Buildings,MEPS of appliances,2016,Performance standard,Regulation,SouthAfrica,ZAF_2015_Buildings
Buildings,Carbon Tax Buildings,2019,Taxation,Pricing,SouthAfrica,ZAF_2020_Buildings
Buildings,Labels Appliances,2011,Label,Information,Turkey,TUR_2013_Buildings
Buildings,MEPS of appliances,2011,Performance standard,Regulation,Turkey,TUR_2013_Buildings
Buildings,Financing Mechanism Buildings,2013,Financing mechanism,Subsidy,Turkey,TUR_2013_Buildings
Buildings,Labels Appliances,2013,Label,Information,Turkey,TUR_2013_Buildings
Buildings,MEPS of appliances,2013,Performance standard,Regulation,Turkey,TUR_2013_Buildings
Buildings,Labels Appliances,2015,Label,Information,Turkey,TUR_2013_Buildings
Electricity,Auction,2014,Renewable subsidy,Subsidy,Brazil,BRA_2016_Electricity
Electricity,Auction,2017,Renewable subsidy,Subsidy,Brazil,BRA_2016_Electricity
Electricity,Renewable subsidy,2002,Renewable subsidy,Subsidy,Colombia,COL_2004_Electricity
Electricity,Renewable expansion,2012,Renewable planning,Regulation,Colombia,COL_2011_Electricity
Industry,ETS Industry,2014,Taxation,Pricing,China,CHN_2016_Industry
Industry,Financing Mechanism Industry,2015,Financing mechanism,Subsidy,China,CHN_2016_Industry
Industry,Fossil Fuel Subsidies Industry,2016,Fossil fuel subsidy reform,Pricing,China,CHN_2016_Industry
Industry,EnergyEfficiencyMandates,2012,Energy efficiency mandate,Regulation,Indonesia,IDN_2013_Industry
Industry,Fossil Fuel Subsidies Industry,2013,Fossil fuel subsidy reform,Pricing,Indonesia,IDN_2013_Industry
Industry,EnergyEfficiencyMandates,2014,Energy efficiency mandate,Regulation,Indonesia,IDN_2013_Industry
Industry,EnergyEfficiencyMandates,2015,Energy efficiency mandate,Regulation,SaudiArabia,SAU_2016_Industry
Industry,MEPS electric motors,2015,Performance standard,Regulation,SaudiArabia,SAU_2016_Industry
Industry,MEPS electric motors,2017,Performance standard,Regulation,SaudiArabia,SAU_2016_Industry
Industry,Financing mechanism,2004,Financing mechanism,Subsidy,SouthKorea,KOR_2004_Industry
Transport,MEPS,2008,Performance standard,Regulation,Colombia,COL_2008_Transport
Transport,Financial support,2019,Adoption subsidy,Subsidy,Mexico,MEX_2020_Transport
Transport,Fossil Fuel Subsidies Transport,2020,Fossil fuel subsidy reform,Pricing,Mexico,MEX_2020_Transport
Transport,Bans and Phaseouts passenger cars ICE,2021,Ban & phase out,Regulation,Mexico,MEX_2020_Transport
Transport,Labels Passenger Cars,2006,Label ,Information,SouthKorea,KOR_2008_Transport
Transport,MEPS Transport,2006,Performance standard,Regulation,SouthKorea,KOR_2008_Transport
Transport,MEPS Transport,2010,Performance standard,Regulation,SouthKorea,KOR_2008_Transport
Buildings,EU-Labels,2004,EU-Labels,Information,CzechRepublic,CZE_2005_Buildings
Buildings,EU-Labels,2004,EU-Labels,Information,SlovakRepublic,SVK_2003_Buildings
Buildings,EU-Labels,2013,EU-Labels,Information,Ireland,IRL_2015_Buildings
Electricity,EU-ETS,2005,EU-ETS,Pricing,Sweden,SWE_2005_Electricity
Industry,EU-ETS,2007,EU-ETS,Pricing,Romania,ROU_2009_Industry
Industry,EU-ETS,2018,EU-ETS,Pricing,France,FRA_2017_Industry
Electricity,EU-ETS,2018,EU-ETS,Pricing,UnitedKingdom,GBR_2016_Electricity
Buildings,EU-MEPS,2009,EU-MEPS,Regulation,SlovakRepublic,SVK_2011_Buildings
Buildings,EU-MEPS,2013,EU-MEPS,Regulation,Ireland,IRL_2015_Buildings
Industry,EU-MEPS,2011,EU-MEPS,Regulation,Bulgaria,BGR_2009_Industry
Industry,EU-MEPS,2011,EU-MEPS,Regulation,CzechRepublic,CZE_2010_Industry
Industry,EU-MEPS,2011,EU-MEPS,Regulation,Ireland,IRL_2009_Industry
Industry,EU-MEPS,2011,EU-MEPS,Regulation,Italy,ITA_2013_Industry
Industry,EU-MEPS,2011,EU-MEPS,Regulation,Romania,ROU_2009_Industry
Industry,EU-MEPS,2015,EU-MEPS,Regulation,France,FRA_2017_Industry
Industry,EU-MEPS,2015,EU-MEPS,Regulation,Italy,ITA_2013_Industry
Transport,EU-MEPS,2009,EU-MEPS,Regulation,Spain,ESP_2009_Transport
Transport,EU-MEPS,2009,EU-MEPS,Regulation,Hungary,HUN_2011_Transport
Buildings,EU-Labels,2013,EU-Labels,Information,Greece,GRC_2012_Buildings
Buildings,EU-Labels,2013,EU-Labels,Information,Greece,GRC_2013_Buildings
Buildings,EU-Labels,2013,EU-Labels,Information,SlovakRepublic,SVK_2011_Buildings
Buildings,EU-Labels,2013,EU-Labels,Information,SlovakRepublic,SVK_2015_Buildings
Industry,EU-ETS,2007,EU-ETS,Pricing,Bulgaria,BGR_2008_Industry
Industry,EU-ETS,2007,EU-ETS,Pricing,Bulgaria,BGR_2009_Industry
Buildings,EU-MEPS,2013,EU-MEPS,Regulation,Greece,GRC_2012_Buildings
Buildings,EU-MEPS,2013,EU-MEPS,Regulation,Greece,GRC_2013_Buildings
Buildings,EU-MEPS,2013,EU-MEPS,Regulation,SlovakRepublic,SVK_2011_Buildings
Buildings,EU-MEPS,2013,EU-MEPS,Regulation,SlovakRepublic,SVK_2015_Buildings
